state,district,month,total_enroll,total_updates,service_load,next_month_service_load
Andaman & Nicobar Islands,Nicobar,2025-09,55,267,322,29
Andaman & Nicobar Islands,Nicobar,2025-10,11,18,29,117
Andaman & Nicobar Islands,Nicobar,2025-11,17,100,117,11
Andaman & Nicobar Islands,North And Middle Andaman,2025-09,75,486,561,269
Andaman & Nicobar Islands,North And Middle Andaman,2025-10,42,227,269,290
Andaman & Nicobar Islands,North And Middle Andaman,2025-11,51,239,290,310
Andaman & Nicobar Islands,South Andaman,2025-09,81,515,596,333
Andaman & Nicobar Islands,South Andaman,2025-10,43,290,333,422
Andaman & Nicobar Islands,South Andaman,2025-11,66,356,422,266
Andhra Pradesh,Adilabad,2025-09,714,7261,7975,5946
Andhra Pradesh,Adilabad,2025-10,355,5591,5946,4391
Andhra Pradesh,Adilabad,2025-11,459,3932,4391,1275
Andhra Pradesh,Alluri Sitharama Raju,2025-09,434,1488,1922,2569
Andhra Pradesh,Alluri Sitharama Raju,2025-10,365,2204,2569,2348
Andhra Pradesh,Alluri Sitharama Raju,2025-11,417,1931,2348,936
Andhra Pradesh,Anakapalli,2025-09,167,385,552,408
Andhra Pradesh,Anakapalli,2025-10,102,306,408,994
Andhra Pradesh,Anakapalli,2025-11,236,758,994,515
Andhra Pradesh,Anantapur,2025-09,1577,7994,9571,13385
Andhra Pradesh,Anantapur,2025-10,1262,12123,13385,13892
Andhra Pradesh,Anantapur,2025-11,1720,12172,13892,3992
Andhra Pradesh,Ananthapur,2025-09,638,2145,2783,5260
Andhra Pradesh,Ananthapur,2025-10,558,4702,5260,4357
Andhra Pradesh,Ananthapur,2025-11,647,3710,4357,2072
Andhra Pradesh,Ananthapuramu,2025-09,1103,4050,5153,8258
Andhra Pradesh,Ananthapuramu,2025-10,877,7381,8258,7040
Andhra Pradesh,Ananthapuramu,2025-11,1108,5932,7040,3703
Andhra Pradesh,Annamayya,2025-09,335,1230,1565,1577
Andhra Pradesh,Annamayya,2025-10,229,1348,1577,2253
Andhra Pradesh,Annamayya,2025-11,389,1864,2253,999
Andhra Pradesh,Bapatla,2025-09,147,298,445,313
Andhra Pradesh,Bapatla,2025-10,93,220,313,769
Andhra Pradesh,Bapatla,2025-11,185,584,769,348
Andhra Pradesh,Chittoor,2025-09,2915,20137,23052,33169
Andhra Pradesh,Chittoor,2025-10,2102,31067,33169,40736
Andhra Pradesh,Chittoor,2025-11,3045,37691,40736,13005
Andhra Pradesh,Cuddapah,2025-09,2003,13297,15300,21013
Andhra Pradesh,Cuddapah,2025-10,1466,19547,21013,24104
Andhra Pradesh,Cuddapah,2025-11,2246,21858,24104,9253
Andhra Pradesh,Dr B R Ambedkar Konaseema,2025-09,240,416,656,519
Andhra Pradesh,Dr B R Ambedkar Konaseema,2025-10,121,398,519,1012
Andhra Pradesh,Dr B R Ambedkar Konaseema,2025-11,241,771,1012,470
Andhra Pradesh,East Godavari,2025-09,2875,20249,23124,26968
Andhra Pradesh,East Godavari,2025-10,1734,25234,26968,37006
Andhra Pradesh,East Godavari,2025-11,2780,34226,37006,12406
Andhra Pradesh,Eluru,2025-09,203,583,786,560
Andhra Pradesh,Eluru,2025-10,121,439,560,904
Andhra Pradesh,Eluru,2025-11,245,659,904,489
Andhra Pradesh,Guntur,2025-09,3161,21666,24827,31420
Andhra Pradesh,Guntur,2025-10,1986,29434,31420,43535
Andhra Pradesh,Guntur,2025-11,3917,39618,43535,15806
Andhra Pradesh,Hyderabad,2025-09,1719,10710,12429,11123
Andhra Pradesh,Hyderabad,2025-10,1396,9727,11123,13759
Andhra Pradesh,Hyderabad,2025-11,1863,11896,13759,5521
Andhra Pradesh,K V Rangareddy,2025-09,36,30,66,41
Andhra Pradesh,K V Rangareddy,2025-10,27,14,41,26
Andhra Pradesh,K V Rangareddy,2025-11,17,9,26,20
Andhra Pradesh,Kakinada,2025-09,304,1227,1531,1450
Andhra Pradesh,Kakinada,2025-10,235,1215,1450,1886
Andhra Pradesh,Kakinada,2025-11,341,1545,1886,1011
Andhra Pradesh,Karim Nagar,2025-09,25,58,83,94
Andhra Pradesh,Karim Nagar,2025-10,27,67,94,94
Andhra Pradesh,Karim Nagar,2025-11,24,70,94,30
Andhra Pradesh,Karimnagar,2025-09,306,1599,1905,1089
Andhra Pradesh,Karimnagar,2025-10,184,905,1089,635
Andhra Pradesh,Karimnagar,2025-11,163,472,635,339
Andhra Pradesh,Khammam,2025-09,526,3314,3840,3384
Andhra Pradesh,Khammam,2025-10,286,3098,3384,3512
Andhra Pradesh,Khammam,2025-11,401,3111,3512,647
Andhra Pradesh,Krishna,2025-09,2522,21054,23576,20377
Andhra Pradesh,Krishna,2025-10,1479,18898,20377,28600
Andhra Pradesh,Krishna,2025-11,2509,26091,28600,9394
Andhra Pradesh,Kurnool,2025-09,3886,25546,29432,46608
Andhra Pradesh,Kurnool,2025-10,3185,43423,46608,45273
